word,phonemes,label
analiza,start AE N AE L IH,Z
finalizase,start F IH N AE L IH Z AE S,EH
plecam,start P L EH K,AE
întristezi,start IX N T R,IH
culturile,start K UW L T UW R IH L EH,stop
scade,start S K AE D EH,stop
capitula,start K AE P IH T UW L AE,stop
călătorești,start K AX L AX T OH R EH,SH
mică,start M,IH
călătoritelor,start K AX L AX T OH R IH T,EH
întâlniseră,start IX N T IX,L
înzestrasem,start IX N Z EH S T R AE,S
poți,start P OH,T
șantajez,start SH AE,N
prepuțuri,start P R EH P,UW
formară,start F OH R,M
observat,start OH B S,EH
paradox,start P AE R,AE
abili,start AE B IH L,stop
dicționarul,start D IH K IH OH,N
deranjat,start D EH R AE N ZH AE,T
accelerară,start AE K CH EH L EH R AE R,AX
viezure,start V Y EH Z,UW
spoveditului,start S,P
funcționă,start F UW N,K
scrumierei,start S K R,UW
găsea,start G AX,S
mărturisii,start M AX R T UW R IH,S
afunde,start AE F UW N D,EH
ventilai,start V,EH
multipolaritate,start M UW L T IH P OH L AE R,IH
grăbește,start G R AX,B
copleșitoare,start K OH P L,EH
futuților,start F UW T,UW
abdicase,start AE B D IH K AE,S
iluzorii,start IH L,UW
anormalitate,start AE N OH,R
excitam,start EH K S CH IH,T
tatuaseși,start T AE T UW AE,S
dominase,start D OH M IH,N
ejaculezi,start EH ZH AE K,UW
activez,start AE K T IH V EH Z,stop
persoană,start P EH R,S
opream,start OH,P
huma,start HH UW M AE,stop
întristasem,start IX,N
simbolizam,start S IH M,B
supsei,start S UW P S,EH
accelerând,start AE K CH EH L EH R IX N D,stop
protejeze,start P R OH T EH,ZH
pretutindenea,start P R EH T,UW
sfârșiserăți,start S F IX R SH,IH
onorai,start OH N OH R,AE
mistificai,start M IH,S
protejarăm,start P,R
substanțe,start S UW,B
incriminam,start IH N K R IH M IH N AE M,stop
vieților,start V Y EH T S IH L OH R,stop
călătoriră,start K AX L AX,T
șoptește,start SH OH P T EH SH T,EH
urinasem,start,UW
răpind,start R AX P IH N D,stop
exclusivitate,start,EH
capitulat,start K AE P IH T,UW
șanse,start SH AE N S EH,stop
logat,start L OH,G
eligibilitate,start EH L IH JH IH B IH L,IH
apologiza,start AE P,OH
murmurai,start M UW R M UW R AE,Y
apocalipticelor,start AE P OH K AE L,IH
tatuase,start T AE,T
sfârșise,start S F IX,R
suedeză,start S UW EH D,EH
masturbase,start M AE S T UW R B,AE
gaviali,start G AE,V
documentai,start D OH K UW M EH,N
fabrice,start F AE B R IH CH,EH
canonise,start K,AE
perfectai,start P EH R F EH K T AE,Y
nălucitei,start N AX L UW CH,IH
babei,start B AE B,EH
subscrie,start S UW B S K R Y,EH
rodea,start R OH D,EH
întristau,start IX,N
degeneram,start D EH JH EH,N
gramatica,start G R AE M AE T IH K,AE
cenzurând,start CH EH N,Z
liniști,start L IH N,IH
mărturisitul,start M AX R T UW R IH S IH,T
terminaseră,start T EH R M IH N,AE
perfectase,start P EH R F EH K T,AE
primitelor,start P R IH M IH T EH,L
logai,start L OH G,AE
despici,start D EH S P,IH
întâlnesc,start IX N T IX L N EH S K,stop
orientează,start OH R IH EH,N
folosiși,start F OH L OH S IH,SH
alarmase,start AE L AE R M AE S,EH
meritai,start M EH R IH T,AE
străluci,start S T R AX L UW T,SH
sodomizarăm,start S,OH
capsulam,start K AE,P
exercite,start EH G Z,EH
cântată,start K IX N T,AE
necăjită,start N EH K,AX
invitam,start IH,N
culpe,start K UW,L
exemplul,start EH,G
grăbești,start G R AX,B
foloseau,start F OH L OH S EH,AE
deranjau,start D,EH
distrează,start,D
futem,start F UW,T
provocam,start P,R
chestii,start K EH S T IH Y,stop
nălucește,start N AX L UW T SH EH SH T,EH
protejaseră,start P R OH,T
suplicai,start S UW P L,IH
întâlnitul,start IX N T IX L N,IH
limitau,start L IH M IH T,AE
deschide,start D EH S,K
umana,start UW M AE N AE,stop
somaseși,start S OH M AE S EH SH,stop
ventilai,start V EH N T IH,L
iaci,start Y,AE
înzestrai,start IX N Z EH,S
sodomizai,start S OH D OH M IH Z,AE
rugam,start R UW G AE M,stop
continuai,start K OH N T IH N UW AE Y,stop
prevede,start P R EH V EH D EH,stop
digitalizam,start D IH JH IH T AE,L
profesoară,start P,R
intervine,start IH N T EH R V,IH
prepoziție,start P R EH P,OH
abandonat,start AE B AE,N
gazez,start G AE Z EH,Z
primirăți,start P R IH M IH R,AX
injectez,start IH,N
articulat,start AE R T,IH
elipsa,start EH L,IH
somnifer,start S OH M N IH,F
dușmănitul,start D UW SH M AX N IH T UW,L
omniprezentul,start OH M N IH P R EH Z EH,N
frecaseși,start F R EH K AE S EH SH,stop
accelerează,start AE K CH,EH
gravitaseră,start G R AE,V
torturară,start T OH R T UW R AE R,AX
complex,start,K
libidinos,start L IH B IH D,IH
ejaculaserăți,start EH ZH AE K UW L AE S EH R AX T,S
repet,start,R
baltic,start,B
deducem,start D,EH
perturbase,start P EH R T UW R B AE S,EH
vampiră,start V AE,M
transformam,start T R AE N S F OH R M AE,M
nege,start N EH,JH
informase,start IH N F OH,R
protestase,start P R OH,T
primind,start P R IH M IH N,D
bateri,start,B
scrii,start S,K
industrializase,start IH N D UW S T R IH AE L IH Z AE S EH,stop
visat,start,V
mărturisiții,start M AX R T UW R,IH
murase,start M,UW
abandonau,start AE B AE N D OH N AE,W
mirandeză,start M,IH
accelerase,start AE K,CH
autoritate,start AE UW T OH R IH T AE,T
zăpușeați,start Z,AX
hibernat,start HH IH B EH R,N
futuserăți,start F UW T UW S,EH
elasticitate,start EH L AE S T IH CH IH T AE T EH,stop
agitam,start AE JH IH T,AE
remușcare,start R EH M UW SH K AE,R
împărătească,start IX,M
confundat,start K OH N,F
pilotarăți,start P,IH
fuserăți,start F UW S,EH
copleșitori,start K OH P L EH SH IH T OH,R
sălbatic,start S AX L B,AE
nude,start N UW D,EH
înzestrând,start IX N Z EH S T R IX N D,stop
cadavrul,start K AE D AE V R UW L,stop
vutcă,start V,UW
numeai,start,N
abandonez,start AE B AE N D OH N EH,Z
numărului,start N UW M AX R,UW
expoziție,start EH K S P OH Z IH IH,EH
plăcea,start P L,AX
dispute,start D IH,S
multiplicam,start M UW L T IH P L,IH
moldovenește,start M OH L D OH V EH N EH,SH
pregăti,start P R,EH
frasin,start F R AE,S
somnifer,start S OH,M
tragi,start T R AE,JH
repar,start R EH P,AE
perfectam,start P,EH
anonim,start AE N OH,N
pregătitele,start P R EH G,AX
funcționasem,start F,UW
aligator,start AE L IH G AE T,OH
misterioasei,start M,IH
declinat,start D EH K L IH,N
excavați,start EH K S K AE V,AE
promis,start P,R
eroticelor,start EH R OH T IH CH EH L OH,R
șoptitului,start SH OH P T IH T,UW
simbolizase,start S,IH
masturbator,start M AE S T UW R,B
păpa,start P AX,P
anonima,start AE,N
articulat,start AE R T IH K UW L AE T,stop
divinizase,start D IH,V
pilotași,start P IH L OH T AE AE SH,stop
aduce,start AE D,UW
stimulam,start S T IH,M
șantajul,start SH AE N T,AE
mărturisitei,start M AX R T UW R IH S IH,T
sărămură,start S AX R AX M UW R AX,stop
plictisiserăm,start P L IH K T IH S IH S EH R AX M,stop
distrează,start D IH S T R EH,AE
eroticii,start EH,R
necăjitului,start N,EH
înzestreze,start IX N Z EH S T R,EH
veștejiseră,start V EH SH T EH ZH IH S EH R,AX
absolutizase,start AE B S OH L,UW
funcționat,start F UW N K IH,OH
grăbiserăți,start G R AX B IH S EH R AX,T
baba,start,B
testez,start T EH S T,EH
asurzitul,start,AE
înzestrezi,start IX N Z EH S,T
accelerarăm,start AE K CH EH,L
șoptitul,start SH OH P T IH T UW,stop
mărturisiților,start M AX R T UW R IH S IH IH,L
negai,start N EH G AE,Y
descărca,start D EH S,K
necăjind,start N EH K AX ZH IH,N
gândeau,start G IX N,D
făcuserăm,start F AX K UW,S
chelner,start K EH L N EH R,stop
plictisirăm,start P L IH K T IH S IH R AX M,stop
distră,start D IH S T R,AX
deranjași,start D EH R AE N ZH AE,SH
slovenilor,start S L,OH
inundase,start IH,N
urinaseși,start UW R IH N AE S EH,SH
acceleraserăți,start,AE
fumare,start F UW M AE,R
estimez,start EH S T,IH
futusem,start F UW T UW S,EH
negociase,start N EH G OH CH IH,AE
marchez,start M,AE
beregate,start B,EH
decapitam,start D,EH
apocalipticilor,start AE P OH K,AE
câștiga,start K IX SH T IH G,AE
somau,start S,OH
protejează,start P R OH T EH ZH EH AE,Z
îmbunătățiserăți,start IX M B,UW
modificata,start M,OH
iubire,start Y UW B IH R EH,stop
nutrici,start N UW T R IH,CH
reginele,start R EH JH IH N EH L,EH
invidiam,start IH N V,IH
funcționasem,start F UW N K,IH
întărită,start IX N T AX R IH T AX,stop
controlaseși,start K OH N,T
îmbunătățitei,start IX M B UW N AX,T
oferim,start OH F EH,R
eroticii,start,EH
insistam,start IH,N
sfârșiților,start S F,IX
șoptiserăți,start SH OH P T IH S EH R AX T,S
plictisiții,start P L IH K,T
navigat,start N AE V IH G AE,T
modificata,start M OH D IH F,IH
pulile,start P UW L IH,L
valsez,start V AE L S EH Z,stop
formarăm,start,F
pregătita,start P R EH G AX T,IH
misteriosului,start M IH S T EH R IH OH S UW L UW,Y
lipsita,start L IH P S,IH
protejează,start P R,OH
înzestrarăm,start IX,N
fibra,start F IH B R AE,stop
vrei,start V R EH,Y
plictiseau,start P L,IH
pulosului,start P UW L,OH
confundam,start K OH N F UW N,D
numitului,start N,UW
sodomizez,start S,OH
craci,start K,R
modificai,start M OH D IH F IH K AE Y,stop
șantaja,start SH,AE
pajeră,start P AE,ZH
vorbă,start V OH,R
paraziți,start P AE R AE Z IH,stop
scol,start S K,OH
socializase,start S OH CH IH AE L IH Z AE,S
tată,start T AE T AX,stop
prietenilor,start P R IH EH T EH N IH L OH R,stop
explicam,start,EH
sângeraserăți,start S IX N,JH
perfectând,start P EH R F,EH
făcuserăm,start F AX K UW S EH R,AX
câștigăm,start K IX SH T IH G,AX
excavaseși,start EH K,S
șopteau,start SH OH P T Y,AE
clădim,start,K
găsiții,start G AX S,IH
adopte,start AE D OH P T,EH
intoxicam,start IH N T OH K S IH K AE,M
sandviș,start S AE N D V IH SH,stop
atrocitate,start AE T R,OH
ventilat,start V EH N T IH L AE T,stop
componente,start K OH M P OH,N
familii,start F AE M IH,L
supun,start S UW P UW N,stop
dușmăniseși,start D UW SH M AX N IH S EH,SH
șantajații,start SH AE N T AE ZH,AE
insecta,start IH N S EH K T,AE
considerat,start K,OH
zonei,start Z OH,N
scade,start S K,AE
pui,start P UW Y,stop
slovenului,start S L OH V EH,N
tentaserăm,start T EH N T AE,S
înzestrasem,start IX N Z EH S T R AE S EH M,stop
secvență,start S EH K V EH N,T
drept,start D R EH P,T
pilotaserăm,start P IH L OH T,AE
îmbunătăți,start IX M B UW N AX T AX T S,IH
viață,start V Y AE T,S
sodomizarăm,start S OH D OH M IH Z AE R AX M,stop
inventez,start IH N V EH N,T
costescu,start K,OH
aromânesc,start AE R OH M IX N EH S,K
mărturiseam,start M AX R T UW R IH S EH AE M,stop
spermă,start S P,EH
spovedeam,start S P,OH
scrotali,start S K R OH T AE,L
limitaseră,start L IH M IH T AE S EH R AX,stop
disputa,start D IH S P UW,T
porni,start P OH,R
investii,start IH,N
gândita,start G IX,N
groto,start G R OH,T
baca,start,B
spoveditele,start S P OH V EH D,IH
clădea,start K L AX D Y AE,stop
dușmănească,start D UW SH M AX N,Y
gânditei,start G IX N D IH T,EH
delimitaserăți,start D EH,L
modificam,start M OH D IH F,IH
persefona,start P EH R S EH,F
familii,start F AE M,IH
sistai,start S,IH
frecarăți,start F,R
incriminai,start,IH
făcurăți,start,F
limitai,start L,IH
accelerase,start AE K CH EH L,EH
degenerase,start,D
acasă,start AE K AE S,AX
întăritul,start IX N,T
fibre,start F IH B R,EH
cururi,start K UW R UW R,stop
degenerai,start D EH JH EH N,EH
cenzurezi,start CH,EH
creăm,start K,R
sorina,start S OH R IH,N
sacrifice,start S,AE
amarilisului,start AE M AE R IH L,IH
fota,start F OH T,AE
cheio,start K EH Y OH,stop
macabră,start M AE K AE B R AX,stop
clădire,start K L AX D IH R EH,stop
beijing,start B EH Y ZH IH NG G,stop
răpirăți,start R,AX
formatele,start F OH R,M
crunt,start,K
aspirai,start AE S P IH R,AE
însușire,start IX N S UW,SH
linguri,start L IH NG G,UW
plictisi,start P L IH K T,IH
boșului,start,B
gândac,start G,IX
veștejit,start V EH SH T EH ZH IH T,stop
ignorez,start IH G N,OH
dicționarul,start,D
amice,start AE M IH,CH
plictisiserăți,start P L IH K T,IH
aplaudam,start,AE
saturase,start S AE T UW R,AE
regine,start R EH JH IH N EH,stop
complex,start K OH M,P
paradoxurile,start,P
continuat,start K,OH
așteptat,start AE SH T EH P,T
adunai,start AE,D
mardii,start M AE R D IH Y,stop
focile,start F OH CH IH,L
marcat,start M AE R K,AE
sufla,start S UW,F
separi,start S EH P AE,R
numitul,start N UW M IH T UW,stop
compensase,start K OH M P EH N S AE,S
întâlnind,start IX,N
acid,start AE CH IH,D
lipsitului,start L IH P S IH T UW L UW,Y
decapitase,start D EH K AE P IH T AE S EH,stop
rezulte,start,R
că,start,K
opriseși,start OH P R IH S,EH
uimitor,start UW Y M,IH
cadavrului,start K AE D AE V R,UW
coardă,start K OH AE R,D
pasteurizase,start P AE S T R IH Z AE S EH,stop
rezista,start R EH Z IH S T,AE
analizarăți,start AE N AE L IH,Z
excavat,start EH K S K AE V AE T,stop
multiplicam,start M UW L T IH P L IH K AE,M
simulez,start,S
primitul,start,P
veștejească,start V EH,SH
ero,start,EH
vomitat,start V,OH
murit,start,M
analiză,start AE N AE L IH Z,AX
șantajurile,start,SH
cicliste,start CH IH K L IH S,T
ubicuitate,start UW B IH K UW IH T,AE
sângeram,start S,IX
alfabetul,start AE L F AE B EH,T
pregătește,start P R EH G AX T EH,SH
urineze,start UW R IH N EH,Z
custam,start K UW S T AE,M
consolidam,start K,OH
glicina,start G L IH,CH
torturaseși,start T OH R T UW,R
expui,start EH K S P UW,Y
completase,start K OH M P L EH T AE,S
îmbunătățiserăm,start IX M B UW N AX T AX T,S
veștejiserăm,start V EH SH T EH ZH,IH
perineului,start P,EH
sexologie,start S EH K S OH L,OH
nutric,start N UW T R IH,K
clădiră,start K L AX,D
gândii,start G,IX
întăriți,start IX N T AX R,IH
mărturisim,start M AX R T UW R IH,S
contribuție,start K OH N,T
inventez,start IH,N
probat,start P R OH B AE T,stop
scrot,start S K,R
mărturisita,start,M
indignai,start IH,N
accepte,start,AE
întăreați,start IX N,T
atrocități,start,AE
fanteziile,start F AE N T EH Z IH L,EH
copleșitori,start K OH P L EH SH,IH
vînt,start V IX N T,stop
specificitate,start S P EH CH IH F IH CH IH T AE,T
somară,start S OH M AE R AX,stop
mulțumit,start M UW L UW M IH T,stop
lucrul,start,L
locui,start L OH K UW IH,stop
păianjenului,start P AX Y AE N ZH EH N UW L UW Y,stop
apocalipticelor,start AE P OH K AE L IH P T IH CH,EH
găsiră,start G AX S,IH
manechin,start M AE N EH,K
anatemele,start AE,N
gravitase,start G,R
păianjenilor,start P,AX
tricou,start T R IH K OH,W
consolidase,start K OH N S OH L IH D AE S,EH
sufix,start S UW F,IH
analiza,start AE N AE L,IH
rugam,start R UW G,AE
frecat,start F R EH,K
crearăm,start K R EH AE R,AX
grăbisem,start G R AX,B
scalzi,start,S
gustase,start,G
coteau,start K OH T,EH
ignorai,start,IH
găsiseși,start G AX S IH S EH,SH
mele,start M EH L,EH
întărea,start IX N T AX R,EH
poate,start P OH AE T,EH
sodomizăm,start S OH D OH M IH Z AX M,stop
masturbatul,start M,AE
ejaculați,start EH ZH AE K UW L AE,stop
concep,start K OH N CH EH P,stop
veștejiră,start V EH SH T EH ZH IH R AX,stop
colinde,start K OH L IH,N
întâlnitelor,start IX N T IX L N IH T,EH
dermatologa,start D EH R M,AE
liberase,start L IH B EH R,AE
daneză,start D AE N,EH
numitului,start N UW,M
mulțumii,start M UW,L
parazit,start P AE R AE Z,IH
sugeau,start S UW JH EH,AE
mărturisesc,start M AX R T UW R IH S EH,S
delimitau,start D EH L IH M IH T AE,W
suflet,start,S
abandonaserăți,start AE B,AE
funcționasem,start F UW N K IH OH N,AE
numitul,start N UW M,IH
valahia,start V AE L,AE
armăsarul,start,AE
intoxicai,start IH N T OH K S,IH
vorbească,start V OH R,B
omori,start OH M OH,R
crucifica,start K R UW CH IH F IH K AE,stop
enigma,start EH N,IH
incriminam,start,IH
culminez,start,K
deranjarăm,start D EH R,AE
decad,start D EH K AE D,stop
accelerat,start AE K CH EH L EH R,AE
geană,start,JH
abandoneze,start AE B AE N,D
răpitului,start R AX P IH T UW L,UW
șoptiților,start SH OH P,T
carpelo,start K AE R P,EH
regulase,start R EH G UW L,AE
relativitate,start R EH L,AE
hiba,start HH IH B,AE
evlavioaselor,start,EH
simplitate,start S IH M P L IH T AE T,EH
dușmănitul,start D UW,SH
frecau,start F,R
nutricat,start N UW T R IH K,AE
fututa,start F,UW
somnambulist,start S OH M N AE M B UW L IH S,T
primiseși,start P R IH,M
primitului,start P R IH M,IH
întristai,start IX N T R IH S T AE Y,stop
veștejirăm,start V EH SH T,EH
canicula,start K AE N,IH
durase,start D UW R AE,S
congelez,start,K
tentarăm,start T EH N T,AE
îmbunătățiserăți,start IX M,B
nălucii,start N AX L UW T SH IH,stop
separai,start,S
perfectam,start P EH R F EH K,T
strici,start S T R IH CH,stop
gânditul,start G IX,N
vino,start V IH N OH,stop
transformase,start T R,AE
urlai,start,UW
completat,start K OH M P L EH T AE T,stop
exemplelor,start EH G Z EH M P L EH L OH R,stop
dominat,start D,OH
vorbeai,start V OH R B,Y
urlai,start UW,R
distraserăți,start D IH S T R AE S EH R AX,T
ignore,start IH G N OH R,EH
orientă,start OH R IH EH N,T
catalan,start K AE T AE,L
deranjaseră,start D EH R AE N ZH AE S EH R,AX
opiu,start OH,P
sufletească,start,S
necăjiseși,start N EH K AX ZH IH S,EH
pilotăm,start P,IH
scrumierelor,start S K R UW M IH EH R EH L OH,R
plictisise,start P L IH K T,IH
fabricat,start F AE B R IH,K
promit,start P,R
mulțumiserăm,start M UW L UW M IH,S
amariliși,start AE M AE R IH,L
apocaliptice,start AE P OH K,AE
șoptita,start SH OH P T IH T AE,stop
pară,start P AE R AX,stop
lubrifie,start L UW B R,IH
arase,start AE R AE S,EH
ocupat,start OH K UW P,AE
sumet,start S UW M EH T,stop
accelerași,start AE K CH EH L EH R,AE
nutricat,start N UW T R IH,K
clipea,start K L IH P,EH
invitai,start IH N V IH T AE Y,stop
traversai,start T R AE V,EH
deliberat,start D EH L IH B EH,R
taților,start T AE IH,L
cenzurezi,start CH EH N Z UW,R
iubesc,start Y,UW
narcotica,start N AE DX K OH T IH K,AE
ador,start AE D OH,R
religie,start R EH L IH D,ZH
chifle,start K IH,F
exprimam,start EH K S P R IH,M
prețuiești,start P R EH UW IH EH SH,T
canicula,start K AE,N
slovenelor,start S L OH V EH N,EH
pisase,start P IH S AE,S
numiților,start N UW M,IH
pilotasem,start P IH L OH T AE,AE
fure,start F,UW
basco,start B AE S K,OH
călătoritul,start K AX L AX T OH R IH,T
orientaseși,start,OH
întăritelor,start,IX
climatologa,start K L IH M AE T,OH
traversai,start T R AE V EH R S AE,Y
moldovenească,start M OH L D OH V EH N EH,AE
sângereze,start,S
grăbiților,start G R AX B IH IH L OH R,stop
deliberai,start D EH L IH B EH R AE Y,stop
aventurai,start AE V EH N T UW R,AE
perfectând,start,P
perseverat,start P EH R S EH V,EH
indignam,start IH N D IH G N AE,M
întâlnitelor,start IX N T IX L N IH T EH L,OH
veștejirăm,start,V
frizura,start F,R
intensificam,start IH N T EH N S IH F IH K,AE
abandonă,start AE B AE N D,OH
întristeze,start IX N,T
analizau,start AE N AE L IH Z AE,W
estimez,start EH,S
excit,start EH K S,CH
aprobase,start,AE
preparase,start P R EH,P
mărturisita,start M AX R T UW R,IH
depilai,start D,EH
interesant,start IH N T EH,R
întăriserăm,start IX N T AX R,IH
analizez,start AE,N
vocale,start V OH,K
fote,start F,OH
plictisiților,start P L IH K T IH S IH IH L OH,R
înzestrarăm,start IX N Z EH S T,R
coaste,start K OH AE S T EH,stop
mănânce,start M AX N IX N CH EH,stop
fantome,start F AE N T OH M,EH
perseveram,start P EH R S EH V EH R AE M,stop
lăsa,start L AX S AE,stop
ruga,start R,UW
macabrului,start M AE K AE,B
multipolaritate,start M UW L T IH P OH,L
bărbătesc,start B,AX
necăjiții,start N EH K AX ZH IH IH,stop
știi,start,SH
franțuzește,start F R AE N UW Z EH SH,T
nude,start,N
zăpadă,start Z AX P AE D AX,stop
bărbaților,start B AX R B AE IH L,OH
manechinului,start M AE N EH K,IH
primiserăți,start P R IH M IH S EH,R
arșiță,start,AE
cado,start K AE D OH,stop
familie,start F AE M IH L,IH
protejat,start P,R
sexualii,start S EH K S UW,AE
analizați,start AE N AE L IH Z,AE
avivez,start AE V IH V EH,Z
borî,start,B
drăgulescu,start,D
dormim,start,D
părinte,start P AX R IH,N
nominale,start N OH M IH N AE,L
dușmănitul,start D UW SH M AX N,IH
excavaseși,start EH K S,K
suedez,start S UW EH D,EH
turtit,start T UW R T IH T,stop
cerbi,start,CH
mărturisitul,start M AX R,T
mărturisește,start M AX R T UW R IH S EH,SH
cenzurând,start CH EH N Z,UW
urinez,start UW R IH N EH Z,stop
combat,start K,OH
reparat,start R EH P AE,R
elveția,start EH L V EH IH,AE
spoveditul,start S P OH V,EH
sumet,start S,UW
plantam,start P,L
copilă,start K,OH
pregătii,start,P
fac,start,F
trepidam,start T R EH P,IH
sacrifice,start S AE K R IH F IH CH EH,stop
întăriții,start IX N T AX R,IH
dicționarelor,start D,IH
moldovean,start M OH L D OH,V
capul,start K AE P UW L,stop
opreai,start OH P R,EH
folosiră,start,F
bibliotecă,start B IH B L IH OH T EH K AX,stop
plecam,start P L EH K AE M,stop
grăbitele,start G R AX B IH T EH L,EH
paradox,start P AE R AE D OH,K
soartă,start S OH AE R,T
impunem,start IH M P UW N EH,M
formatului,start F OH R M AE,T
somam,start S OH,M
mărturisind,start M AX R T UW R,IH
oprite,start,OH
usture,start,UW
necăjea,start N EH K AX,ZH
celebrase,start,CH
introduc,start IH N T R,OH
fulgi,start F UW,L
azere,start AE,Z
apropiase,start AE P R OH P IH,AE
erogen,start EH R,OH
simulam,start S IH M UW L AE,M
neglijez,start N EH G L IH ZH EH,Z
aici,start,AE
șantajaserăm,start SH AE,N
declinat,start D EH K L IH N,AE
urinară,start UW R IH N AE R AX,stop
torturat,start T OH R T UW R AE,T
pregătind,start P R EH G,AX
central,start CH EH N T,R
comunicai,start K OH M,UW
gravitase,start,G
lipsise,start L IH P,S
absolutizase,start AE B S OH L UW,T
aveți,start,AE
admirat,start AE D M,IH
pornograficelor,start P OH,R
mulțumiserăți,start M UW L UW M IH S EH R AX,stop
decapitase,start D EH K AE P,IH
demnitate,start D EH M N IH T AE T EH,stop
continuai,start K OH N T,IH
funcționezi,start F UW N,K
primind,start P,R
întărită,start IX N T,AX
bibliotecă,start B IH B,L
zăpușiseși,start Z AX P UW SH IH S EH SH,stop
evoluam,start EH V OH L UW,AE
asurzim,start AE S UW R,Z
iudaism,start Y UW D AE IH S M,stop
enigmatică,start EH N IH G,M
nălucirăți,start N AX L UW,T
alarmase,start AE L,AE
oprisem,start OH P R IH S EH,M
albastru,start AE L B AE S T DX UW,stop
capro,start K AE P R,OH
lăsa,start L AX S,AE
controlaseși,start,K
giuvaier,start JH Y UW V,AE
încina,start IX N CH IH,N
formatului,start,F
central,start CH EH N,T
ceasornicar,start,CH
cursuri,start,K
inundam,start IH,N
botanica,start B OH T AE N IH K AE,stop
mediem,start M EH D,IH
controlau,start K OH N T R OH L,AE
invite,start IH N,V
primiseră,start P R IH M IH S EH R,AX
spumat,start S,P
înzestrarăți,start IX N Z EH S T R,AE
admiri,start,AE
nălucitele,start N AX L,UW
protejaserăți,start P R OH T EH ZH,AE
desperat,start D EH S P,EH
castrai,start K AE S,T
misterioșilor,start M IH S T,EH
genunchi,start D ZH EH N,UW
numele,start N UW,M
prosti,start P R OH S T,IH
degere,start D EH JH EH,R
sângerând,start S IX,N
narcotici,start N AE DX K,OH
intensificai,start IH N T EH N,S
frecasem,start,F
întărește,start IX N,T
elizee,start EH L IH,Z
argumentat,start AE R G UW M EH N T,AE
asurzisem,start AE S UW R Z IH S EH,M
numărul,start N UW M AX,R
șopteați,start SH,OH
enigmatica,start EH N IH G,M
strige,start S T,R
citiseși,start T,SH
tunai,start,T
slovenilor,start S L OH V,EH
îmbunătățitul,start,IX
cititul,start CH IH T,IH
remușcare,start R EH M UW SH,K
universitate,start UW N IH V EH R S IH T AE T,EH
sprâncenat,start S P R IX,N
năluciserăți,start N AX L UW T SH IH S EH,R
gravase,start G R AE V AE S EH,stop
coreei,start K,OH
citiseși,start T SH IH T IH S,EH
deranjaseși,start D EH R AE N ZH AE S EH SH,stop
salvat,start S AE L V,AE
controlă,start K OH N T R,OH
genetică,start JH EH,N
halucinație,start,HH
vorbise,start V OH R B IH S EH,stop
emil,start EH M IH L,stop
câștigați,start K IX SH T,IH
scrotalii,start S,K
șantajul,start SH AE N T AE,ZH
saturez,start S,AE
animalitate,start AE N IH M AE L IH,T
circulam,start,CH
omniprezentului,start OH M N IH P R EH Z EH N T UW L,UW
câmpina,start K,IX
visătoare,start V IH S,AX
secvență,start S EH K V EH,N
prepoziție,start,P
perineal,start P EH R IH,N
barat,start,B
omenește,start OH M EH,N
acceleraseși,start,AE
capsulase,start K AE P,S
nălucească,start N AX L UW T SH EH,AE
călătoresc,start K AX L AX T,OH
alfabete,start AE L F AE B,EH
vampir,start V AE M,P
simulam,start S IH,M
veni,start,V
informatico,start IH N F OH R M AE T,IH
clinico,start K L IH N IH K OH,stop
comunicase,start K OH M UW N IH K AE,S
avansă,start AE V,AE
șoptisem,start SH OH P T IH S EH M,stop
gravitat,start G R AE V IH T AE T,stop
strigam,start S T R IH G AE,M
costase,start K OH,S
ajunge,start AE ZH UW N JH,EH
insecte,start IH N S EH,K
prietenilor,start P R IH EH T EH N IH,L
suplicat,start S UW P L IH K,AE
distractiv,start D IH S T,R
informat,start,IH
plictisește,start P,L
condamnez,start K OH N D AE M N EH Z,stop
golea,start G,OH
spele,start S P,EH
sexualul,start S EH K S,UW
amice,start AE M,IH
analizași,start AE N AE L IH Z,AE
lipsisem,start L IH P S IH S EH M,stop
cercai,start CH,EH
gândiserăți,start G IX N D IH,S
mediat,start M EH D IH AE T,stop
foise,start F OH,IH
boșului,start B OH SH,UW
apui,start,AE
deranjaserăm,start D,EH
ligament,start L IH G AE M EH N T,stop
necăjiți,start N EH K AX ZH,IH
interacțiune,start IH N T EH,R
soțul,start S,OH
mărturisise,start M AX R T UW R IH,S
criminal,start K R IH M,IH
exclamai,start EH K S K L AE M AE,Y
pilotam,start,P
controlaseră,start K OH N,T
prosti,start P R,OH
buza,start,B
induc,start IH,N
sloveni,start S L OH,V
suscitase,start S UW,S
întăritul,start IX N T,AX
stupidități,start S T UW P,IH
eroticele,start EH R OH T IH CH EH,L
nutrice,start N UW,T
perfecte,start P EH R F EH K,T
anatemă,start AE N AE T EH,M
îmbunătăți,start IX M B UW N AX T AX T S IH,stop
pilotarăți,start P IH L OH T,AE
capitulai,start K AE P IH T UW,L
exagerase,start EH K,S
mărturisim,start M,AX
mistificase,start M,IH
indiscreție,start IH N D IH S,K
noastră,start N OH AE,S
întărirăm,start IX N T AX R IH,R
mulțumim,start M UW L UW,M
controverse,start K OH N,T
declaram,start D EH K L,AE
intri,start IH N,T
produc,start P R OH,D
basca,start B,AE
întâlniseră,start IX N T IX L N IH S,EH
prietenul,start P,R
pornirăm,start P OH R N IH R,AX
